KODS,TIPS_CD,NOSAUKUMS,VKUR_CD,VKUR_TIPS,APSTIPR,APST_PAK,STATUSS,SORT_NOS,DAT_SAK,DAT_MOD,DAT_BEIG,ATRIB,STD
"100459852","107","Sermuļu iela","100003470","104","Y","252","EKS","Sermuļu iela","2003.11.20","2023.12.01","","","Sermuļu iela, Ogre, Ogres nov."
"100439927","107","Serģu iela","100184508","106","Y","252","EKS","Serģu iela","2004.01.14","2021.06.30","","","Serģu iela, Gauja, Carnikavas pag., Ādažu nov."
"100326880","107","Sesavas iela","100003036","104","Y","252","EKS","Sesavas iela","1999.03.16","2021.06.30","","","Sesavas iela, Jūrmala"
"100311426","107","Sesku iela","100003003","104","Y","252","EKS","Sesku iela","1999.03.16","2025.05.15","","","Sesku iela, Rīga"
"100454193","107","Sesku iela","100207468","106","Y","252","EKS","Sesku iela","2005.10.05","2009.06.30","","","Sesku iela, Grēnes, Olaines pag., Olaines nov."
"100444174","107","Sesku iela","100003575","104","Y","252","EKS","Sesku iela","2004.11.24","2018.09.17","","","Sesku iela, Salaspils, Salaspils nov."
"100455636","107","Sestā iela","100199351","106","Y","252","EKS","Sestā iela","2006.05.10","2021.06.30","","","Sestā iela, Peši, Rucavas pag., Dienvidkurzemes nov."
"100431752","107","Sestā iela","100146043","106","Y","252","EKS","Sestā iela","2003.04.14","2021.06.30","","","Sestā iela, Šķēde, Medzes pag., Dienvidkurzemes nov."
"100469590","107","Sestā iela","100199263","106","Y","252","DEL","Sestā iela","2009.08.26","2025.10.10","2025.09.25","","Sestā iela, VEF-Biķernieki, Saulkrastu pag., Saulkrastu nov."
"100431857","107","Sešpadsmitā iela","100146043","106","Y","252","EKS","Sešpadsmitā iela","2003.04.14","2021.06.30","","","Sešpadsmitā iela, Šķēde, Medzes pag., Dienvidkurzemes nov."
"100428143","107","Sešķu iela","100003181","104","Y","252","EKS","Sešķu iela","2001.10.26","2021.06.30","","","Sešķu iela, Subate, Augšdaugavas nov."
"100485330","107","Sibru iela","100128878","106","Y","252","EKS","Sibru iela","2016.07.27","2016.08.04","","","Sibru iela, Vircava, Vircavas pag., Jelgavas nov."
"100474793","107","Sidgundas iela","100185743","106","Y","252","EKS","Sidgundas iela","2011.09.06","2021.06.30","","","Sidgundas iela, Ropaži, Ropažu pag., Ropažu nov."
"100311434","107","Sidraba iela","100003003","104","Y","252","EKS","Sidraba iela","1999.03.16","2025.05.15","","","Sidraba iela, Rīga"
"100465591","107","Sidrabenes iela","100185470","106","Y","252","DEL","Sidrabenes iela","2008.05.21","2013.09.17","2013.08.28","","Sidrabenes iela, Jaunolaine, Olaines pag., Olaines nov."
"100450797","107","Sidrabu iela","100185173","106","Y","252","EKS","Sidrabu iela","2005.11.03","2009.06.30","","","Sidrabu iela, Katlakalns, Ķekavas pag., Ķekavas nov."
"100459731","107","Sidraburgas iela","100003003","104","Y","252","EKS","Sidraburgas iela","2007.05.29","2025.04.04","","","Sidraburgas iela, Rīga"
"100311442","107","Sieksātes iela","100003003","104","Y","252","EKS","Sieksātes iela","1999.03.16","2025.05.15","","","Sieksātes iela, Rīga"
"100321461","107","Siena ceļš","100003028","104","Y","252","EKS","Siena ceļš","2000.06.20","2021.06.30","","","Siena ceļš, Jelgava"
"100495743","107","Siena iela","100185446","106","Y","252","EKS","Siena iela","2021.11.24","2021.12.02","","","Siena iela, Medemciems, Olaines pag., Olaines nov."
"100358562","107","Siena iela","100003261","104","Y","252","EKS","Siena iela","1999.03.16","2021.06.30","","","Siena iela, Krāslava, Krāslavas nov."
"100363652","107","Siena iela","100003333","104","Y","252","EKS","Siena iela","1999.03.16","2021.06.30","","","Siena iela, Pāvilosta, Dienvidkurzemes nov."
"100330960","107","Siena iela","100003044","104","Y","252","EKS","Siena iela","1999.03.16","2021.06.30","","","Siena iela, Liepāja"
"100413984","107","Siena iela","100003003","104","Y","252","EKS","Siena iela","2000.04.03","2025.04.04","","","Siena iela, Rīga"
"100409742","107","Siena iela","100003286","104","Y","252","EKS","Siena iela","1999.06.04","2009.06.30","","","Siena iela, Kuldīga, Kuldīgas nov."
"100413734","107","Siena tirgus","100003060","104","Y","252","EKS","Siena tirgus","2000.03.28","2014.04.02","","","Siena tirgus, Ventspils"
"100497345","107","Sienāžu iela","100184477","106","Y","252","EKS","Sienāžu iela","2022.08.24","2022.10.27","","","Sienāžu iela, Siguļi, Carnikavas pag., Ādažu nov."
"100409211","107","Sienāžu iela","100003036","104","Y","252","EKS","Sienāžu iela","1999.06.04","2003.01.10","","","Sienāžu iela, Jūrmala"
"100492906","107","Sienāžu iela","100184196","106","Y","252","EKS","Sienāžu iela","2020.10.22","2021.06.30","","","Sienāžu iela, Garkalne, Ādažu pag., Ādažu nov."
"100412090","107","Sieramuižas iela","100003028","104","Y","252","EKS","Sieramuižas iela","1997.09.25","2012.12.11","","","Sieramuižas iela, Jelgava"
"100442033","107","Sietiņu iela","100003470","104","Y","252","EKS","Sietiņu iela","2004.07.08","2009.06.30","","","Sietiņu iela, Ogre, Ogres nov."
"100455138","107","Sietnieku iela","100003815","104","Y","252","EKS","Sietnieku iela","2006.07.24","2022.06.30","","","Sietnieku iela, Mārupe, Mārupes nov."
"100475303","107","Siguldas iela","100003583","104","Y","252","EKS","Siguldas iela","2011.09.28","2011.11.03","","","Siguldas iela, Saulkrasti, Saulkrastu nov."
"100490412","107","Siguldas iela","100003157","104","Y","252","EKS","Siguldas iela","2019.01.22","2024.04.02","","","Siguldas iela, Cēsis, Cēsu nov."
"100496070","107","Siguldas iela","100185446","106","Y","252","EKS","Siguldas iela","2022.01.26","2022.02.04","","","Siguldas iela, Medemciems, Olaines pag., Olaines nov."
"100345980","107","Siguldas iela","100114675","106","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, More, Mores pag., Siguldas nov."
"100405630","107","Siguldas iela","100003807","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Valmiera, Valmieras nov."
"100411626","107","Siguldas iela","100185220","106","Y","252","EKS","Siguldas iela","1999.06.07","2021.06.30","","","Siguldas iela, Mālpils, Mālpils pag., Siguldas nov."
"100356060","107","Siguldas iela","100003776","104","Y","253","EKS","Siguldas iela","1999.03.16","2021.07.01","","","Siguldas iela, Jēkabpils, Jēkabpils nov."
"100345144","107","Siguldas iela","100003165","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Līgatne, Cēsu nov."
"100433522","107","Siguldas iela","100184091","106","Y","252","EKS","Siguldas iela","2003.04.20","2009.06.30","","","Siguldas iela, Egļupe, Allažu pag., Siguldas nov."
"100338926","107","Siguldas iela","100003108","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Alūksne, Alūksnes nov."
"100332843","107","Siguldas iela","100003052","104","Y","252","EKS","Siguldas iela","2002.05.09","2021.06.30","","","Siguldas iela, Rēzekne"
"100318012","107","Siguldas iela","100003011","104","Y","253","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Daugavpils"
"100407265","107","Siguldas iela","100003751","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Rūjiena, Valmieras nov."
"100326897","107","Siguldas iela","100003036","104","Y","252","EKS","Siguldas iela","1999.03.16","2021.06.30","","","Siguldas iela, Jūrmala"
